id,name,height,grid_id,zone_id
1,B00001,3.0,885,486
2,B00002,3.0,1218,692
3,B00003,3.0,1218,692
4,B00004,3.0,1218,692
5,B00005,3.0,1218,692
6,B00006,3.0,1218,692
7,B00007,3.0,1218,692
8,B00008,3.0,1218,692
9,B00009,3.0,959,536
10,B00010,3.0,885,486
11,B00011,3.0,1255,711
12,B00012,3.0,1218,692
13,B00013,3.0,1181,673
14,B00014,3.0,1181,673
15,B00015,3.0,1144,650
16,B00016,3.0,1070,602
17,B00017,3.0,1070,602
18,B00018,3.0,1218,692
19,B00019,3.0,1144,650
20,B00020,3.0,1107,625
21,B00021,3.0,1107,625
22,B00022,3.0,996,560
23,B00023,3.0,1144,650
24,B00024,3.0,1255,711
25,B00025,3.0,1218,692
26,B00026,3.0,1218,692
27,B00027,3.0,1218,692
28,B00028,3.0,1255,711
29,B00029,3.0,1255,711
30,B00030,3.0,885,486
31,B00031,3.0,1181,673
32,B00032,3.0,1107,625
33,B00033,3.0,1107,625
34,B00034,3.0,1218,692
35,B00035,3.0,1070,602
36,B00036,3.0,1181,673
37,B00037,3.0,1218,692
38,B00038,3.0,1218,692
39,B00039,3.0,1144,650
40,B00040,3.0,1255,711
41,B00041,3.0,1144,650
42,B00042,3.0,1218,692
43,B00043,3.0,1255,711
44,B00044,3.0,1181,673
45,B00045,3.0,1107,625
46,B00046,3.0,1181,673
47,B00047,3.0,1144,650
48,B00048,3.0,1070,602
49,B00049,3.0,1107,625
50,B00050,3.0,1144,650
51,B00051,3.0,1107,625
52,B00052,3.0,958,535
53,B00053,3.0,1106,624
54,B00054,3.0,884,485
55,B00055,3.0,1106,624
56,B00056,3.0,1143,649
57,B00057,3.0,1180,672
58,B00058,3.0,958,535
59,B00059,3.0,1254,710
60,B00060,3.0,1143,649
61,B00061,3.0,958,535
62,B00062,3.0,1106,624
63,B00063,3.0,1254,710
64,B00064,3.0,1106,624
65,B00065,3.0,1180,672
66,B00066,3.0,1069,601
67,B00067,3.0,1106,624
68,B00068,3.0,1106,624
69,B00069,3.0,1254,710
70,B00070,3.0,1032,580
71,B00071,3.0,884,485
72,B00072,3.0,958,535
73,B00073,3.0,1217,691
74,B00074,3.0,1106,624
75,B00075,3.0,1106,624
76,B00076,3.0,884,485
77,B00077,3.0,921,512
78,B00078,3.0,1180,672
79,B00079,3.0,958,535
80,B00080,3.0,921,512
81,B00081,3.0,1143,649
82,B00082,3.0,1069,601
83,B00083,3.0,847,456
84,B00084,3.0,1143,649
85,B00085,3.0,1069,601
86,B00086,3.0,1106,624
87,B00087,3.0,847,456
88,B00088,3.0,1032,580
89,B00089,3.0,1180,672
90,B00090,3.0,1106,624
91,B00091,3.0,921,512
92,B00092,3.0,921,512
93,B00093,3.0,958,535
94,B00094,3.0,1069,601
95,B00095,3.0,1180,672
96,B00096,3.0,1069,601
97,B00097,3.0,846,455
98,B00098,3.0,1105,623
99,B00099,3.0,846,455
100,B00100,3.0,920,511
101,B00101,3.0,1068,600
102,B00102,3.0,920,511
103,B00103,3.0,1031,579
104,B00104,3.0,1105,623
105,B00105,3.0,1179,671
106,B00106,3.0,1142,648
107,B00107,3.0,846,455
108,B00108,3.0,1179,671
109,B00109,3.0,1031,579
110,B00110,3.0,1105,623
111,B00111,3.0,883,484
112,B00112,3.0,994,559
113,B00113,3.0,1179,671
114,B00114,3.0,883,484
115,B00115,3.0,809,430
116,B00116,3.0,846,455
117,B00117,3.0,1253,709
118,B00118,3.0,1142,648
119,B00119,3.0,846,455
120,B00120,3.0,1068,600
121,B00121,3.0,809,430
122,B00122,3.0,846,455
123,B00123,3.0,1068,600
124,B00124,3.0,883,484
125,B00125,3.0,1216,690
126,B00126,3.0,809,430
127,B00127,3.0,1216,690
128,B00128,3.0,1031,579
129,B00129,3.0,1216,690
130,B00130,3.0,809,430
131,B00131,3.0,1216,690
132,B00132,3.0,1216,690
133,B00133,3.0,809,430
134,B00134,3.0,1216,690
135,B00135,3.0,1179,671
136,B00136,3.0,809,430
137,B00137,3.0,1179,671
138,B00138,3.0,1179,671
139,B00139,3.0,1179,671
140,B00140,3.0,1179,671
141,B00141,3.0,809,430
142,B00142,3.0,846,455
143,B00143,3.0,1253,709
144,B00144,3.0,1179,671
145,B00145,3.0,809,430
146,B00146,3.0,809,430
147,B00147,3.0,1253,709
148,B00148,3.0,809,430
149,B00149,3.0,1142,648
150,B00150,3.0,920,511
151,B00151,3.0,1253,709
152,B00152,3.0,809,430
153,B00153,3.0,1179,671
154,B00154,3.0,1253,709
155,B00155,3.0,1216,690
156,B00156,3.0,1215,689
157,B00157,3.0,1030,578
158,B00158,3.0,1216,690
159,B00159,3.0,1141,647
160,B00160,3.0,882,483
161,B00161,3.0,1216,690
162,B00162,3.0,1215,689
163,B00163,3.0,1215,689
164,B00164,3.0,1252,708
165,B00165,3.0,1215,689
166,B00166,3.0,1067,599
167,B00167,3.0,1215,689
168,B00168,3.0,1252,708
169,B00169,3.0,1178,670
170,B00170,3.0,1178,670
171,B00171,3.0,808,429
172,B00172,3.0,808,429
173,B00173,3.0,1252,708
174,B00174,3.0,1252,708
175,B00175,3.0,1178,670
176,B00176,3.0,1215,689
177,B00177,3.0,1141,647
178,B00178,3.0,1252,708
179,B00179,3.0,1178,670
180,B00180,3.0,1178,670
181,B00181,3.0,1252,708
182,B00182,3.0,1178,670
183,B00183,3.0,1141,647
184,B00184,3.0,1141,647
185,B00185,3.0,882,483
186,B00186,3.0,1215,689
187,B00187,3.0,1215,689
188,B00188,3.0,1215,689
189,B00189,3.0,1215,689
190,B00190,3.0,1178,670
191,B00191,3.0,882,483
192,B00192,3.0,845,454
193,B00193,3.0,1178,670
194,B00194,3.0,1178,670
195,B00195,3.0,1215,689
196,B00196,3.0,1178,670
