,choice-1,choice-2,choice-3,choice-4,choice-5
zone-001,Yinxiang,Zhaoshang,Qianjin,Chunchao,Chunyang
zone-002,Yinxiang,Zhaoshang,Qianjin,Chunchao,Chunyang
zone-003,Yinxiang,Zhaoshang,Qianjin,Chunchao,Chunyang
zone-004,Yinxiang,Zhaoshang,Qianjin,Chunchao,Chunyang
zone-005,Yinxiang,Zhaoshang,Qianjin,Chunchao,Chunyang
zone-006,Yinxiang,Zhaoshang,Qianjin,Chunchao,Chunyang
zone-007,Yinxiang,Zhaoshang,Qianjin,Chunchao,Chunyang
zone-008,Zhaoshang,Yinxiang,Qianjin,Chunchao,Chunyang
zone-009,Zhaoshang,Qianjin,Yinxiang,Chunchao,Chunyang
zone-010,Yinxiang,Zhaoshang,Qianjin,Chunchao,Chunyang
zone-011,Yinxiang,Zhaoshang,Qianjin,Chunchao,Chunyang
zone-012,Yinxiang,Zhaoshang,Qianjin,Chunchao,Chunyang
zone-013,Zhaoshang,Yinxiang,Qianjin,Chunchao,Chunyang
zone-014,Zhaoshang,Qianjin,Yinxiang,Chunchao,Chunyang
zone-015,Yinxiang,Zhaoshang,Qianjin,Chunchao,Chunyang
zone-016,Yinxiang,Zhaoshang,Qianjin,Chunchao,Chunyang
zone-017,Yinxiang,Zhaoshang,Qianjin,Chunchao,Chunyang
zone-018,Zhaoshang,Yinxiang,Qianjin,Chunchao,Chunyang
zone-019,Zhaoshang,Qianjin,Yinxiang,Chunchao,Chunyang
zone-020,Zhaoshang,Qianjin,Yinxiang,Chunchao,Chunyang
zone-021,Yinxiang,Zhaoshang,Qianjin,Chunchao,Chunyang
zone-022,Yinxiang,Zhaoshang,Qianjin,Chunchao,Chunyang
zone-023,Yinxiang,Zhaoshang,Qianjin,Chunchao,Chunyang
zone-024,Zhaoshang,Qianjin,Yinxiang,Chunchao,Chunyang
zone-025,Zhaoshang,Qianjin,Yinxiang,Chunchao,Chunyang
zone-026,Zhaoshang,Qianjin,Chunchao,Yinxiang,Chunyang
zone-027,Qianjin,Zhaoshang,Chunchao,Yinxiang,Xiadianqiao
zone-028,Qianjin,Zhaoshang,Chunchao,Xiadianqiao,Gaoxinqiti
zone-029,Yinxiang,Zhaoshang,Qianjin,Chunchao,Chunyang
zone-030,Yinxiang,Zhaoshang,Qianjin,Chunchao,Chunyang
zone-031,Zhaoshang,Qianjin,Yinxiang,Chunchao,Chunyang
zone-032,Qianjin,Zhaoshang,Chunchao,Yinxiang,Chunyang
zone-033,Qianjin,Zhaoshang,Chunchao,Yinxiang,Chunyang
zone-034,Qianjin,Zhaoshang,Chunchao,Xiadianqiao,Yinxiang
zone-035,Qianjin,Chunchao,Zhaoshang,Xiadianqiao,Chunyang
zone-036,Qianjin,Chunchao,Zhaoshang,Xiadianqiao,Gaoxinqiti
