,2010-03-15,2010-06-15,2010-09-15,2010-12-15
00:00,5.0,21.0,24.0,5.0
01:00,4.0,21.0,22.0,5.0
02:00,4.5,20.7,23.0,5.5
03:00,2.0,20.0,21.0,5.0
04:00,2.0,19.0,21.0,5.0
05:00,3.0,19.4,21.7,5.9
06:00,1.0,19.0,21.0,5.0
07:00,2.0,20.0,22.0,5.0
08:00,4.3,21.7,23.1,5.4
09:00,7.0,25.0,25.0,6.0
10:00,10.0,26.0,25.0,6.0
11:00,10.5,25.9,26.0,5.9
12:00,13.0,26.4,26.0,6.0
13:00,15.0,27.0,25.0,6.0
14:00,14.8,27.5,24.7,5.6
15:00,16.0,28.0,24.0,6.0
16:00,16.0,27.0,23.0,6.0
17:00,15.2,26.5,23.1,5.3
18:00,14.0,26.0,23.0,5.0
19:00,12.0,25.0,22.0,5.0
20:00,10.8,24.2,21.7,5.2
21:00,10.0,24.0,22.0,5.0
22:00,9.0,23.0,22.0,5.0
23:00,9.4,22.6,21.6,5.1
