,generation (p.u.)
1968-01-01 00:00:00-06:00,0.0358
1968-01-01 01:00:00-06:00,0.0153
1968-01-01 02:00:00-06:00,0.0355
1968-01-01 03:00:00-06:00,0.0152
1968-01-01 04:00:00-06:00,0.0009
1968-01-01 05:00:00-06:00,0.0666
1968-01-01 06:00:00-06:00,0.0009
1968-01-01 07:00:00-06:00,0.0009
1968-01-01 08:00:00-06:00,0.015
1968-01-01 09:00:00-06:00,0.1101
1968-01-01 10:00:00-06:00,0.6903
1968-01-01 11:00:00-06:00,0.5743
1968-01-01 12:00:00-06:00,0.789
1968-01-01 13:00:00-06:00,0.6847
1968-01-01 14:00:00-06:00,0.684
1968-01-01 15:00:00-06:00,0.351
1968-01-01 16:00:00-06:00,0.2411
1968-01-01 17:00:00-06:00,0.5689
1968-01-01 18:00:00-06:00,0.8656
1968-01-01 19:00:00-06:00,0.456
1968-01-01 20:00:00-06:00,0.5663
1968-01-01 21:00:00-06:00,0.3485
1968-01-01 22:00:00-06:00,0.1659
1968-01-01 23:00:00-06:00,0.1655
1968-01-02 00:00:00-06:00,0.1063
1968-01-02 01:00:00-06:00,0.1652
1968-01-02 02:00:00-06:00,0.3463
1968-01-02 03:00:00-06:00,0.1652
1968-01-02 04:00:00-06:00,0.0635
1968-01-02 05:00:00-06:00,0.0336
1968-01-02 06:00:00-06:00,0.0009
1968-01-02 07:00:00-06:00,0.0009
1968-01-02 08:00:00-06:00,0.0009
1968-01-02 09:00:00-06:00,0.0144
1968-01-02 10:00:00-06:00,0.0009
1968-01-02 11:00:00-06:00,0.0009
1968-01-02 12:00:00-06:00,0.0143
1968-01-02 13:00:00-06:00,0.0009
1968-01-02 14:00:00-06:00,0.0009
1968-01-02 15:00:00-06:00,0.0332
1968-01-02 16:00:00-06:00,0.063
1968-01-02 17:00:00-06:00,0.1053
1968-01-02 18:00:00-06:00,0.0629
1968-01-02 19:00:00-06:00,0.0142
1968-01-02 20:00:00-06:00,0.0332
1968-01-02 21:00:00-06:00,0.0629
1968-01-02 22:00:00-06:00,0.0332
1968-01-02 23:00:00-06:00,0.0628
1968-01-03 00:00:00-06:00,0.1051
1968-01-03 01:00:00-06:00,0.0628
1968-01-03 02:00:00-06:00,0.2353
1968-01-03 03:00:00-06:00,0.3433
1968-01-03 04:00:00-06:00,0.1642
1968-01-03 05:00:00-06:00,0.1056
1968-01-03 06:00:00-06:00,0.1058
1968-01-03 07:00:00-06:00,0.347
1968-01-03 08:00:00-06:00,0.0638
1968-01-03 09:00:00-06:00,0.3483
1968-01-03 10:00:00-06:00,0.2402
1968-01-03 11:00:00-06:00,0.3495
1968-01-03 12:00:00-06:00,0.1662
1968-01-03 13:00:00-06:00,0.1661
1968-01-03 14:00:00-06:00,0.1068
1968-01-03 15:00:00-06:00,0.2391
1968-01-03 16:00:00-06:00,0.4548
1968-01-03 17:00:00-06:00,0.241
1968-01-03 18:00:00-06:00,0.2415
1968-01-03 19:00:00-06:00,0.3514
1968-01-03 20:00:00-06:00,0.1676
1968-01-03 21:00:00-06:00,0.3512
1968-01-03 22:00:00-06:00,0.2412
1968-01-03 23:00:00-06:00,0.1685
1968-01-04 00:00:00-06:00,0.3539
1968-01-04 01:00:00-06:00,0.1089
1968-01-04 02:00:00-06:00,0.17
1968-01-04 03:00:00-06:00,0.1699
1968-01-04 04:00:00-06:00,0.1702
1968-01-04 05:00:00-06:00,0.4639
1968-01-04 06:00:00-06:00,0.4639
1968-01-04 07:00:00-06:00,0.4653
1968-01-04 08:00:00-06:00,0.5771
1968-01-04 09:00:00-06:00,0.877
1968-01-04 10:00:00-06:00,0.9446
1968-01-04 11:00:00-06:00,0.9718
1968-01-04 12:00:00-06:00,0.9923
1968-01-04 13:00:00-06:00,0.9963
1968-01-04 14:00:00-06:00,1.0
1968-01-04 15:00:00-06:00,0.9788
1968-01-04 16:00:00-06:00,0.7993
1968-01-04 17:00:00-06:00,0.5845
1968-01-04 18:00:00-06:00,0.2484
1968-01-04 19:00:00-06:00,0.3628
1968-01-04 20:00:00-06:00,0.3629
1968-01-04 21:00:00-06:00,0.0353
1968-01-04 22:00:00-06:00,0.0152
1968-01-04 23:00:00-06:00,0.0355
1968-01-05 00:00:00-06:00,0.015
1968-01-05 01:00:00-06:00,0.0664
1968-01-05 02:00:00-06:00,0.1112
1968-01-05 03:00:00-06:00,0.1109
1968-01-05 04:00:00-06:00,0.1718
1968-01-05 05:00:00-06:00,0.3585
1968-01-05 06:00:00-06:00,0.5789
1968-01-05 07:00:00-06:00,0.4629
1968-01-05 08:00:00-06:00,0.8751
1968-01-05 09:00:00-06:00,0.8728
1968-01-05 10:00:00-06:00,0.8667
1968-01-05 11:00:00-06:00,0.9218
1968-01-05 12:00:00-06:00,0.9151
1968-01-05 13:00:00-06:00,0.9348
1968-01-05 14:00:00-06:00,0.8356
1968-01-05 15:00:00-06:00,0.6564
1968-01-05 16:00:00-06:00,0.6555
1968-01-05 17:00:00-06:00,0.6545
1968-01-05 18:00:00-06:00,0.2315
1968-01-05 19:00:00-06:00,0.0621
1968-01-05 20:00:00-06:00,0.1042
1968-01-05 21:00:00-06:00,0.033
1968-01-05 22:00:00-06:00,0.0629
1968-01-05 23:00:00-06:00,0.9235
1968-01-06 00:00:00-06:00,0.5665
1968-01-06 01:00:00-06:00,0.6821
1968-01-06 02:00:00-06:00,0.4586
1968-01-06 03:00:00-06:00,0.3531
1968-01-06 04:00:00-06:00,0.243
1968-01-06 05:00:00-06:00,0.6869
1968-01-06 06:00:00-06:00,0.5733
1968-01-06 07:00:00-06:00,0.3537
1968-01-06 08:00:00-06:00,0.5737
1968-01-06 09:00:00-06:00,0.3541
1968-01-06 10:00:00-06:00,0.7893
1968-01-06 11:00:00-06:00,0.7874
1968-01-06 12:00:00-06:00,0.8691
1968-01-06 13:00:00-06:00,0.7867
1968-01-06 14:00:00-06:00,0.9706
1968-01-06 15:00:00-06:00,0.7896
1968-01-06 16:00:00-06:00,0.997
1968-01-06 17:00:00-06:00,0.8791
1968-01-06 18:00:00-06:00,0.8797
1968-01-06 19:00:00-06:00,0.9554
1968-01-06 20:00:00-06:00,0.9574
1968-01-06 21:00:00-06:00,0.7011
1968-01-06 22:00:00-06:00,0.5875
1968-01-06 23:00:00-06:00,0.7053
1968-01-07 00:00:00-06:00,0.3646
1968-01-07 01:00:00-06:00,0.8192
1968-01-07 02:00:00-06:00,0.2527
1968-01-07 03:00:00-06:00,0.3696
1968-01-07 04:00:00-06:00,0.2553
1968-01-07 05:00:00-06:00,0.0684
1968-01-07 06:00:00-06:00,0.178
1968-01-07 07:00:00-06:00,0.1148
1968-01-07 08:00:00-06:00,0.1149
1968-01-07 09:00:00-06:00,0.372
1968-01-07 10:00:00-06:00,0.1764
1968-01-07 11:00:00-06:00,0.4783
1968-01-07 12:00:00-06:00,0.5923
1968-01-07 13:00:00-06:00,0.4727
1968-01-07 14:00:00-06:00,0.3614
1968-01-07 15:00:00-06:00,0.3614
1968-01-07 16:00:00-06:00,0.1728
1968-01-07 17:00:00-06:00,0.2504
1968-01-07 18:00:00-06:00,0.3647
1968-01-07 19:00:00-06:00,0.3654
1968-01-07 20:00:00-06:00,0.1125
1968-01-07 21:00:00-06:00,0.1125
1968-01-07 22:00:00-06:00,0.2517
1968-01-07 23:00:00-06:00,0.0153
1968-01-08 00:00:00-06:00,0.0153
1968-01-08 01:00:00-06:00,0.0153
1968-01-08 02:00:00-06:00,0.0153
1968-01-08 03:00:00-06:00,0.0153
1968-01-08 04:00:00-06:00,0.0358
1968-01-08 05:00:00-06:00,0.0009
1968-01-08 06:00:00-06:00,0.0358
1968-01-08 07:00:00-06:00,0.0676
1968-01-08 08:00:00-06:00,0.0355
1968-01-08 09:00:00-06:00,0.0353
1968-01-08 10:00:00-06:00,0.2476
1968-01-08 11:00:00-06:00,0.3591
1968-01-08 12:00:00-06:00,0.2456
1968-01-08 13:00:00-06:00,0.2447
1968-01-08 14:00:00-06:00,0.3549
1968-01-08 15:00:00-06:00,0.3549
1968-01-08 16:00:00-06:00,0.3544
1968-01-08 17:00:00-06:00,0.2428
1968-01-08 18:00:00-06:00,0.3532
1968-01-08 19:00:00-06:00,0.4587
1968-01-08 20:00:00-06:00,0.3512
1968-01-08 21:00:00-06:00,0.5686
1968-01-08 22:00:00-06:00,0.5679
1968-01-08 23:00:00-06:00,0.4556
1968-01-09 00:00:00-06:00,0.4531
1968-01-09 01:00:00-06:00,0.4521
1968-01-09 02:00:00-06:00,0.4508
1968-01-09 03:00:00-06:00,0.4507
1968-01-09 04:00:00-06:00,0.5584
1968-01-09 05:00:00-06:00,0.2365
1968-01-09 06:00:00-06:00,0.3442
1968-01-09 07:00:00-06:00,0.2365
1968-01-09 08:00:00-06:00,0.3444
1968-01-09 09:00:00-06:00,0.2363
1968-01-09 10:00:00-06:00,0.2358
1968-01-09 11:00:00-06:00,0.2352
1968-01-09 12:00:00-06:00,0.5524
1968-01-09 13:00:00-06:00,0.4437
1968-01-09 14:00:00-06:00,0.4429
1968-01-09 15:00:00-06:00,0.3395
1968-01-09 16:00:00-06:00,0.2333
1968-01-09 17:00:00-06:00,0.1632
1968-01-09 18:00:00-06:00,0.2356
1968-01-09 19:00:00-06:00,0.1644
