,generation (p.u.)
2002-01-01 00:00:00-07:00,0.1656
2002-01-01 01:00:00-07:00,0.1068
2002-01-01 02:00:00-07:00,0.0644
2002-01-01 03:00:00-07:00,0.0009
2002-01-01 04:00:00-07:00,0.0144
2002-01-01 05:00:00-07:00,0.0146
2002-01-01 06:00:00-07:00,0.0146
2002-01-01 07:00:00-07:00,0.1072
2002-01-01 08:00:00-07:00,0.0145
2002-01-01 09:00:00-07:00,0.0638
2002-01-01 10:00:00-07:00,0.0336
2002-01-01 11:00:00-07:00,0.0646
2002-01-01 12:00:00-07:00,0.1059
2002-01-01 13:00:00-07:00,0.1671
2002-01-01 14:00:00-07:00,0.0143
2002-01-01 15:00:00-07:00,0.2369
2002-01-01 16:00:00-07:00,0.034
2002-01-01 17:00:00-07:00,0.034
2002-01-01 18:00:00-07:00,0.1084
2002-01-01 19:00:00-07:00,0.1081
2002-01-01 20:00:00-07:00,0.5722
2002-01-01 21:00:00-07:00,0.0346
2002-01-01 22:00:00-07:00,0.0658
2002-01-01 23:00:00-07:00,0.0659
2002-01-02 00:00:00-07:00,0.1106
2002-01-02 01:00:00-07:00,0.1106
2002-01-02 02:00:00-07:00,0.2474
2002-01-02 03:00:00-07:00,0.0149
2002-01-02 04:00:00-07:00,0.0009
2002-01-02 05:00:00-07:00,0.0009
2002-01-02 06:00:00-07:00,0.0668
2002-01-02 07:00:00-07:00,0.0659
2002-01-02 08:00:00-07:00,0.1697
2002-01-02 09:00:00-07:00,0.5716
2002-01-02 10:00:00-07:00,0.1664
2002-01-02 11:00:00-07:00,0.1664
2002-01-02 12:00:00-07:00,0.0009
2002-01-02 13:00:00-07:00,0.0142
2002-01-02 14:00:00-07:00,0.0
2002-01-02 15:00:00-07:00,0.0331
2002-01-02 16:00:00-07:00,0.0637
2002-01-02 17:00:00-07:00,0.0636
2002-01-02 18:00:00-07:00,0.0339
2002-01-02 19:00:00-07:00,0.166
2002-01-02 20:00:00-07:00,0.4536
2002-01-02 21:00:00-07:00,0.4546
2002-01-02 22:00:00-07:00,0.4544
2002-01-02 23:00:00-07:00,0.4547
2002-01-03 00:00:00-07:00,0.9168
2002-01-03 01:00:00-07:00,0.8439
2002-01-03 02:00:00-07:00,0.7617
2002-01-03 03:00:00-07:00,0.7632
2002-01-03 04:00:00-07:00,0.7636
2002-01-03 05:00:00-07:00,0.7638
2002-01-03 06:00:00-07:00,0.2365
2002-01-03 07:00:00-07:00,0.3406
2002-01-03 08:00:00-07:00,0.0775
2002-01-03 09:00:00-07:00,0.0009
2002-01-03 10:00:00-07:00,0.1041
2002-01-03 11:00:00-07:00,0.1032
2002-01-03 12:00:00-07:00,0.7483
2002-01-03 13:00:00-07:00,0.8202
2002-01-03 14:00:00-07:00,0.8786
2002-01-03 15:00:00-07:00,0.2293
2002-01-03 16:00:00-07:00,0.3336
2002-01-03 17:00:00-07:00,0.5448
2002-01-03 18:00:00-07:00,0.4394
2002-01-03 19:00:00-07:00,0.232
2002-01-03 20:00:00-07:00,0.7596
2002-01-03 21:00:00-07:00,0.4414
2002-01-03 22:00:00-07:00,0.2339
2002-01-03 23:00:00-07:00,0.2336
2002-01-04 00:00:00-07:00,0.1633
2002-01-04 01:00:00-07:00,0.1628
2002-01-04 02:00:00-07:00,0.1625
2002-01-04 03:00:00-07:00,0.3215
2002-01-04 04:00:00-07:00,0.1047
2002-01-04 05:00:00-07:00,0.1046
2002-01-04 06:00:00-07:00,0.0142
2002-01-04 07:00:00-07:00,0.0332
2002-01-04 08:00:00-07:00,0.033
2002-01-04 09:00:00-07:00,0.6614
2002-01-04 10:00:00-07:00,0.9552
2002-01-04 11:00:00-07:00,0.9546
2002-01-04 12:00:00-07:00,0.656
2002-01-04 13:00:00-07:00,0.9553
2002-01-04 14:00:00-07:00,0.955
2002-01-04 15:00:00-07:00,0.8444
2002-01-04 16:00:00-07:00,0.3223
2002-01-04 17:00:00-07:00,0.3419
2002-01-04 18:00:00-07:00,0.0332
2002-01-04 19:00:00-07:00,0.0633
2002-01-04 20:00:00-07:00,0.0
2002-01-04 21:00:00-07:00,0.0
2002-01-04 22:00:00-07:00,0.0009
2002-01-04 23:00:00-07:00,0.0009
2002-01-05 00:00:00-07:00,0.2399
2002-01-05 01:00:00-07:00,0.1664
2002-01-05 02:00:00-07:00,0.2403
2002-01-05 03:00:00-07:00,0.3491
2002-01-05 04:00:00-07:00,0.4552
2002-01-05 05:00:00-07:00,0.4546
2002-01-05 06:00:00-07:00,0.5686
2002-01-05 07:00:00-07:00,0.3498
2002-01-05 08:00:00-07:00,0.1656
2002-01-05 09:00:00-07:00,0.1055
2002-01-05 10:00:00-07:00,0.1047
2002-01-05 11:00:00-07:00,0.1051
2002-01-05 12:00:00-07:00,0.1048
2002-01-05 13:00:00-07:00,0.0623
2002-01-05 14:00:00-07:00,0.0141
2002-01-05 15:00:00-07:00,0.0141
2002-01-05 16:00:00-07:00,0.0141
2002-01-05 17:00:00-07:00,0.0331
2002-01-05 18:00:00-07:00,0.0009
2002-01-05 19:00:00-07:00,0.0626
2002-01-05 20:00:00-07:00,0.1054
2002-01-05 21:00:00-07:00,0.0634
2002-01-05 22:00:00-07:00,0.2388
2002-01-05 23:00:00-07:00,0.2387
2002-01-06 00:00:00-07:00,0.4561
2002-01-06 01:00:00-07:00,0.2408
2002-01-06 02:00:00-07:00,0.2413
2002-01-06 03:00:00-07:00,0.4573
2002-01-06 04:00:00-07:00,0.4557
2002-01-06 05:00:00-07:00,0.4558
2002-01-06 06:00:00-07:00,0.0647
2002-01-06 07:00:00-07:00,0.0639
2002-01-06 08:00:00-07:00,0.0335
2002-01-06 09:00:00-07:00,0.0009
2002-01-06 10:00:00-07:00,0.3211
2002-01-06 11:00:00-07:00,0.3405
2002-01-06 12:00:00-07:00,0.2334
2002-01-06 13:00:00-07:00,0.2333
2002-01-06 14:00:00-07:00,0.2326
2002-01-06 15:00:00-07:00,0.2344
2002-01-06 16:00:00-07:00,0.105
2002-01-06 17:00:00-07:00,0.1055
2002-01-06 18:00:00-07:00,0.1647
2002-01-06 19:00:00-07:00,0.3433
2002-01-06 20:00:00-07:00,0.4465
2002-01-06 21:00:00-07:00,0.1057
2002-01-06 22:00:00-07:00,0.235
2002-01-06 23:00:00-07:00,0.2352
2002-01-07 00:00:00-07:00,0.2349
2002-01-07 01:00:00-07:00,0.4452
2002-01-07 02:00:00-07:00,0.5532
2002-01-07 03:00:00-07:00,0.1634
2002-01-07 04:00:00-07:00,0.3224
2002-01-07 05:00:00-07:00,0.3421
2002-01-07 06:00:00-07:00,0.234
2002-01-07 07:00:00-07:00,0.0331
2002-01-07 08:00:00-07:00,0.0
2002-01-07 09:00:00-07:00,0.0
2002-01-07 10:00:00-07:00,0.0137
2002-01-07 11:00:00-07:00,0.0137
2002-01-07 12:00:00-07:00,0.2279
2002-01-07 13:00:00-07:00,0.8171
2002-01-07 14:00:00-07:00,0.5305
2002-01-07 15:00:00-07:00,0.2261
2002-01-07 16:00:00-07:00,0.2289
2002-01-07 17:00:00-07:00,0.2302
2002-01-07 18:00:00-07:00,0.334
2002-01-07 19:00:00-07:00,0.0616
2002-01-07 20:00:00-07:00,0.9056
2002-01-07 21:00:00-07:00,0.5493
2002-01-07 22:00:00-07:00,0.657
2002-01-07 23:00:00-07:00,0.6569
2002-01-08 00:00:00-07:00,0.4391
2002-01-08 01:00:00-07:00,0.9018
2002-01-08 02:00:00-07:00,0.8384
2002-01-08 03:00:00-07:00,0.3352
2002-01-08 04:00:00-07:00,0.8303
2002-01-08 05:00:00-07:00,0.8303
2002-01-08 06:00:00-07:00,0.4346
2002-01-08 07:00:00-07:00,0.1607
2002-01-08 08:00:00-07:00,0.6551
2002-01-08 09:00:00-07:00,0.8263
2002-01-08 10:00:00-07:00,0.0606
2002-01-08 11:00:00-07:00,0.0605
2002-01-08 12:00:00-07:00,0.4282
2002-01-08 13:00:00-07:00,0.629
2002-01-08 14:00:00-07:00,0.0603
2002-01-08 15:00:00-07:00,0.0602
2002-01-08 16:00:00-07:00,0.0602
2002-01-08 17:00:00-07:00,0.0601
2002-01-08 18:00:00-07:00,0.4317
2002-01-08 19:00:00-07:00,0.4318
2002-01-08 20:00:00-07:00,0.4378
2002-01-08 21:00:00-07:00,0.1606
2002-01-08 22:00:00-07:00,0.2313
2002-01-08 23:00:00-07:00,0.2314
2002-01-09 00:00:00-07:00,0.0617
2002-01-09 01:00:00-07:00,0.3371
2002-01-09 02:00:00-07:00,0.0623
2002-01-09 03:00:00-07:00,0.1613
2002-01-09 04:00:00-07:00,0.5515
2002-01-09 05:00:00-07:00,0.5511
2002-01-09 06:00:00-07:00,0.2337
2002-01-09 07:00:00-07:00,0.1625
2002-01-09 08:00:00-07:00,0.161
2002-01-09 09:00:00-07:00,0.6554
2002-01-09 10:00:00-07:00,0.9439
2002-01-09 11:00:00-07:00,0.9286
2002-01-09 12:00:00-07:00,0.0321
2002-01-09 13:00:00-07:00,0.4307
2002-01-09 14:00:00-07:00,0.1568
2002-01-09 15:00:00-07:00,0.3305
2002-01-09 16:00:00-07:00,0.4333
