id,name,standard
1,B00001,STANDARD2
2,B00002,STANDARD1
3,B00003,STANDARD1
4,B00004,STANDARD1
5,B00005,STANDARD1
6,B00006,STANDARD1
7,B00007,STANDARD1
8,B00008,STANDARD1
9,B00009,STANDARD5
10,B00010,STANDARD5
11,B00011,STANDARD1
12,B00012,STANDARD1
13,B00013,STANDARD1
14,B00014,STANDARD1
15,B00015,STANDARD1
16,B00016,STANDARD1
17,B00017,STANDARD1
18,B00018,STANDARD1
19,B00019,STANDARD1
20,B00020,STANDARD2
21,B00021,STANDARD1
22,B00022,STANDARD1
23,B00023,STANDARD1
24,B00024,STANDARD1
25,B00025,STANDARD1
26,B00026,STANDARD1
27,B00027,STANDARD1
28,B00028,STANDARD1
29,B00029,STANDARD1
30,B00030,STANDARD2
31,B00031,STANDARD1
32,B00032,STANDARD2
33,B00033,STANDARD1
34,B00034,STANDARD1
35,B00035,STANDARD2
36,B00036,STANDARD1
37,B00037,STANDARD5
38,B00038,STANDARD1
39,B00039,STANDARD2
40,B00040,STANDARD1
41,B00041,STANDARD1
42,B00042,STANDARD1
43,B00043,STANDARD1
44,B00044,STANDARD1
45,B00045,STANDARD1
46,B00046,STANDARD1
47,B00047,STANDARD5
48,B00048,STANDARD4
49,B00049,STANDARD2
50,B00050,STANDARD1
51,B00051,STANDARD2
52,B00052,STANDARD4
53,B00053,STANDARD1
54,B00054,STANDARD5
55,B00055,STANDARD1
56,B00056,STANDARD1
57,B00057,STANDARD1
58,B00058,STANDARD1
59,B00059,STANDARD1
60,B00060,STANDARD2
61,B00061,STANDARD1
62,B00062,STANDARD2
63,B00063,STANDARD2
64,B00064,STANDARD1
65,B00065,STANDARD1
66,B00066,STANDARD1
67,B00067,STANDARD1
68,B00068,STANDARD1
69,B00069,STANDARD2
70,B00070,STANDARD1
71,B00071,STANDARD1
72,B00072,STANDARD1
73,B00073,STANDARD2
74,B00074,STANDARD1
75,B00075,STANDARD4
76,B00076,STANDARD5
77,B00077,STANDARD4
78,B00078,STANDARD1
79,B00079,STANDARD1
80,B00080,STANDARD4
81,B00081,STANDARD1
82,B00082,STANDARD1
83,B00083,STANDARD5
84,B00084,STANDARD1
85,B00085,STANDARD2
86,B00086,STANDARD1
87,B00087,STANDARD1
88,B00088,STANDARD5
89,B00089,STANDARD1
90,B00090,STANDARD2
91,B00091,STANDARD1
92,B00092,STANDARD1
93,B00093,STANDARD4
94,B00094,STANDARD1
95,B00095,STANDARD1
96,B00096,STANDARD1
97,B00097,STANDARD3
98,B00098,STANDARD1
99,B00099,STANDARD5
100,B00100,STANDARD1
101,B00101,STANDARD2
102,B00102,STANDARD1
103,B00103,STANDARD1
104,B00104,STANDARD1
105,B00105,STANDARD1
106,B00106,STANDARD1
107,B00107,STANDARD1
108,B00108,STANDARD1
109,B00109,STANDARD1
110,B00110,STANDARD1
111,B00111,STANDARD1
112,B00112,STANDARD1
113,B00113,STANDARD1
114,B00114,STANDARD5
115,B00115,STANDARD1
116,B00116,STANDARD1
117,B00117,STANDARD1
118,B00118,STANDARD1
119,B00119,STANDARD1
120,B00120,STANDARD1
121,B00121,STANDARD5
122,B00122,STANDARD1
123,B00123,STANDARD1
124,B00124,STANDARD5
125,B00125,STANDARD2
126,B00126,STANDARD1
127,B00127,STANDARD1
128,B00128,STANDARD4
129,B00129,STANDARD1
130,B00130,STANDARD1
131,B00131,STANDARD4
132,B00132,STANDARD1
133,B00133,STANDARD1
134,B00134,STANDARD2
135,B00135,STANDARD1
136,B00136,STANDARD1
137,B00137,STANDARD2
138,B00138,STANDARD2
139,B00139,STANDARD1
140,B00140,STANDARD1
141,B00141,STANDARD1
142,B00142,STANDARD5
143,B00143,STANDARD2
144,B00144,STANDARD1
145,B00145,STANDARD1
146,B00146,STANDARD1
147,B00147,STANDARD2
148,B00148,STANDARD1
149,B00149,STANDARD1
150,B00150,STANDARD2
151,B00151,STANDARD5
152,B00152,STANDARD1
153,B00153,STANDARD1
154,B00154,STANDARD2
155,B00155,STANDARD1
156,B00156,STANDARD1
157,B00157,STANDARD1
158,B00158,STANDARD2
159,B00159,STANDARD1
160,B00160,STANDARD2
161,B00161,STANDARD1
162,B00162,STANDARD1
163,B00163,STANDARD2
164,B00164,STANDARD1
165,B00165,STANDARD1
166,B00166,STANDARD1
167,B00167,STANDARD1
168,B00168,STANDARD1
169,B00169,STANDARD1
170,B00170,STANDARD2
171,B00171,STANDARD1
172,B00172,STANDARD2
173,B00173,STANDARD1
174,B00174,STANDARD1
175,B00175,STANDARD1
176,B00176,STANDARD1
177,B00177,STANDARD1
178,B00178,STANDARD1
179,B00179,STANDARD1
180,B00180,STANDARD1
181,B00181,STANDARD1
182,B00182,STANDARD1
183,B00183,STANDARD1
184,B00184,STANDARD1
185,B00185,STANDARD2
186,B00186,STANDARD1
187,B00187,STANDARD1
188,B00188,STANDARD2
189,B00189,STANDARD1
190,B00190,STANDARD1
191,B00191,STANDARD2
192,B00192,STANDARD3
193,B00193,STANDARD5
194,B00194,STANDARD1
195,B00195,STANDARD1
196,B00196,STANDARD5
197,B00197,STANDARD2
198,B00198,STANDARD1
199,B00199,STANDARD1
200,B00200,STANDARD1
201,B00201,STANDARD1
202,B00202,STANDARD1
203,B00203,STANDARD1
204,B00204,STANDARD1
205,B00205,STANDARD2
206,B00206,STANDARD1
207,B00207,STANDARD1
208,B00208,STANDARD2
209,B00209,STANDARD1
210,B00210,STANDARD1
211,B00211,STANDARD2
212,B00212,STANDARD2
213,B00213,STANDARD1
214,B00214,STANDARD2
215,B00215,STANDARD1
216,B00216,STANDARD2
217,B00217,STANDARD1
218,B00218,STANDARD2
