id,name,use_type
1,B00001,MULTI_RES
2,B00002,INDUSTRIAL
3,B00003,SERVERROOM
4,B00004,MULTI_RES
5,B00005,INDUSTRIAL
6,B00006,MULTI_RES
7,B00007,MULTI_RES
8,B00008,INDUSTRIAL
9,B00009,INDUSTRIAL
10,B00010,MULTI_RES
11,B00011,INDUSTRIAL
12,B00012,INDUSTRIAL
13,B00013,SERVERROOM
14,B00014,INDUSTRIAL
15,B00015,SERVERROOM
16,B00016,INDUSTRIAL
17,B00017,MULTI_RES
18,B00018,INDUSTRIAL
19,B00019,INDUSTRIAL
20,B00020,MULTI_RES
21,B00021,INDUSTRIAL
22,B00022,INDUSTRIAL
23,B00023,INDUSTRIAL
24,B00024,INDUSTRIAL
25,B00025,INDUSTRIAL
26,B00026,INDUSTRIAL
27,B00027,INDUSTRIAL
28,B00028,INDUSTRIAL
29,B00029,INDUSTRIAL
30,B00030,MULTI_RES
31,B00031,INDUSTRIAL
32,B00032,OFFICE
33,B00033,INDUSTRIAL
34,B00034,INDUSTRIAL
35,B00035,INDUSTRIAL
36,B00036,INDUSTRIAL
37,B00037,RESTAURANT
38,B00038,INDUSTRIAL
39,B00039,INDUSTRIAL
40,B00040,INDUSTRIAL
41,B00041,INDUSTRIAL
42,B00042,INDUSTRIAL
43,B00043,INDUSTRIAL
44,B00044,SERVERROOM
45,B00045,INDUSTRIAL
46,B00046,INDUSTRIAL
47,B00047,INDUSTRIAL
48,B00048,INDUSTRIAL
49,B00049,MULTI_RES
50,B00050,INDUSTRIAL
51,B00051,INDUSTRIAL
52,B00052,INDUSTRIAL
53,B00053,MULTI_RES
54,B00054,MULTI_RES
55,B00055,SERVERROOM
56,B00056,SERVERROOM
57,B00057,INDUSTRIAL
58,B00058,INDUSTRIAL
59,B00059,INDUSTRIAL
60,B00060,INDUSTRIAL
61,B00061,INDUSTRIAL
62,B00062,INDUSTRIAL
63,B00063,INDUSTRIAL
64,B00064,MULTI_RES
65,B00065,MULTI_RES
66,B00066,INDUSTRIAL
67,B00067,MULTI_RES
68,B00068,MULTI_RES
69,B00069,INDUSTRIAL
70,B00070,INDUSTRIAL
71,B00071,INDUSTRIAL
72,B00072,INDUSTRIAL
73,B00073,INDUSTRIAL
74,B00074,MULTI_RES
75,B00075,INDUSTRIAL
76,B00076,INDUSTRIAL
77,B00077,INDUSTRIAL
78,B00078,MULTI_RES
79,B00079,INDUSTRIAL
80,B00080,INDUSTRIAL
81,B00081,MULTI_RES
82,B00082,INDUSTRIAL
83,B00083,OFFICE
84,B00084,INDUSTRIAL
85,B00085,MULTI_RES
86,B00086,MULTI_RES
87,B00087,OFFICE
88,B00088,INDUSTRIAL
89,B00089,MULTI_RES
90,B00090,INDUSTRIAL
91,B00091,INDUSTRIAL
92,B00092,INDUSTRIAL
93,B00093,INDUSTRIAL
94,B00094,MULTI_RES
95,B00095,MULTI_RES
96,B00096,MULTI_RES
97,B00097,SERVERROOM
98,B00098,INDUSTRIAL
99,B00099,INDUSTRIAL
100,B00100,INDUSTRIAL
101,B00101,MULTI_RES
102,B00102,INDUSTRIAL
103,B00103,SERVERROOM
104,B00104,INDUSTRIAL
105,B00105,MULTI_RES
106,B00106,INDUSTRIAL
107,B00107,SERVERROOM
108,B00108,MULTI_RES
109,B00109,SERVERROOM
110,B00110,INDUSTRIAL
111,B00111,INDUSTRIAL
112,B00112,SERVERROOM
113,B00113,MULTI_RES
114,B00114,INDUSTRIAL
115,B00115,INDUSTRIAL
116,B00116,SERVERROOM
117,B00117,INDUSTRIAL
118,B00118,MULTI_RES
119,B00119,SERVERROOM
120,B00120,MULTI_RES
121,B00121,INDUSTRIAL
122,B00122,FOODSTORE
123,B00123,MULTI_RES
124,B00124,INDUSTRIAL
125,B00125,INDUSTRIAL
126,B00126,INDUSTRIAL
127,B00127,INDUSTRIAL
128,B00128,MULTI_RES
129,B00129,INDUSTRIAL
130,B00130,INDUSTRIAL
131,B00131,INDUSTRIAL
132,B00132,MULTI_RES
133,B00133,MULTI_RES
134,B00134,MULTI_RES
135,B00135,INDUSTRIAL
136,B00136,INDUSTRIAL
137,B00137,MULTI_RES
138,B00138,MULTI_RES
139,B00139,MULTI_RES
140,B00140,MULTI_RES
141,B00141,MULTI_RES
142,B00142,INDUSTRIAL
143,B00143,INDUSTRIAL
144,B00144,INDUSTRIAL
145,B00145,INDUSTRIAL
146,B00146,INDUSTRIAL
147,B00147,INDUSTRIAL
148,B00148,MULTI_RES
149,B00149,MULTI_RES
150,B00150,SERVERROOM
151,B00151,MULTI_RES
152,B00152,MULTI_RES
153,B00153,INDUSTRIAL
154,B00154,MULTI_RES
155,B00155,SERVERROOM
156,B00156,MULTI_RES
157,B00157,MULTI_RES
158,B00158,INDUSTRIAL
159,B00159,MULTI_RES
160,B00160,INDUSTRIAL
161,B00161,INDUSTRIAL
162,B00162,MULTI_RES
163,B00163,MULTI_RES
164,B00164,MULTI_RES
165,B00165,MULTI_RES
166,B00166,MULTI_RES
167,B00167,MULTI_RES
168,B00168,MULTI_RES
169,B00169,INDUSTRIAL
170,B00170,MULTI_RES
171,B00171,MULTI_RES
172,B00172,MULTI_RES
173,B00173,SERVERROOM
174,B00174,MULTI_RES
175,B00175,MULTI_RES
176,B00176,MULTI_RES
177,B00177,MULTI_RES
178,B00178,SERVERROOM
179,B00179,MULTI_RES
180,B00180,MULTI_RES
181,B00181,INDUSTRIAL
182,B00182,FOODSTORE
183,B00183,SERVERROOM
184,B00184,OFFICE
185,B00185,INDUSTRIAL
186,B00186,MULTI_RES
187,B00187,MULTI_RES
188,B00188,INDUSTRIAL
189,B00189,MULTI_RES
190,B00190,INDUSTRIAL
191,B00191,INDUSTRIAL
192,B00192,INDUSTRIAL
193,B00193,INDUSTRIAL
194,B00194,INDUSTRIAL
195,B00195,MULTI_RES
196,B00196,INDUSTRIAL
197,B00197,INDUSTRIAL
198,B00198,MULTI_RES
199,B00199,OFFICE
200,B00200,INDUSTRIAL
201,B00201,INDUSTRIAL
202,B00202,INDUSTRIAL
203,B00203,INDUSTRIAL
204,B00204,OFFICE
205,B00205,MULTI_RES
206,B00206,OFFICE
207,B00207,OFFICE
208,B00208,SERVERROOM
209,B00209,INDUSTRIAL
210,B00210,INDUSTRIAL
211,B00211,MULTI_RES
212,B00212,MULTI_RES
213,B00213,INDUSTRIAL
214,B00214,INDUSTRIAL
215,B00215,HOTEL
216,B00216,MULTI_RES
217,B00217,INDUSTRIAL
218,B00218,INDUSTRIAL
219,B00219,INDUSTRIAL
220,B00220,MULTI_RES
221,B00221,MULTI_RES
222,B00222,INDUSTRIAL
223,B00223,SERVERROOM
224,B00224,HOTEL
225,B00225,INDUSTRIAL
226,B00226,MULTI_RES
227,B00227,INDUSTRIAL
228,B00228,INDUSTRIAL
229,B00229,MULTI_RES
230,B00230,MULTI_RES
231,B00231,INDUSTRIAL
232,B00232,INDUSTRIAL
233,B00233,MULTI_RES
234,B00234,MULTI_RES
235,B00235,MULTI_RES
236,B00236,OFFICE
237,B00237,INDUSTRIAL
238,B00238,SCHOOL
239,B00239,INDUSTRIAL
240,B00240,MULTI_RES
241,B00241,INDUSTRIAL
242,B00242,SCHOOL
243,B00243,INDUSTRIAL
244,B00244,INDUSTRIAL
245,B00245,INDUSTRIAL
246,B00246,RETAIL
247,B00247,INDUSTRIAL
248,B00248,OFFICE
249,B00249,MULTI_RES
250,B00250,MULTI_RES
251,B00251,INDUSTRIAL
252,B00252,MULTI_RES
253,B00253,MULTI_RES
254,B00254,MULTI_RES
255,B00255,MULTI_RES
256,B00256,INDUSTRIAL
257,B00257,INDUSTRIAL
258,B00258,INDUSTRIAL
259,B00259,MULTI_RES
260,B00260,MULTI_RES
261,B00261,INDUSTRIAL
262,B00262,OFFICE
263,B00263,INDUSTRIAL
264,B00264,MULTI_RES
265,B00265,INDUSTRIAL
266,B00266,MULTI_RES
267,B00267,INDUSTRIAL
268,B00268,MULTI_RES
269,B00269,INDUSTRIAL
270,B00270,MULTI_RES
271,B00271,MULTI_RES
272,B00272,MULTI_RES
273,B00273,MULTI_RES
274,B00274,INDUSTRIAL
275,B00275,INDUSTRIAL
276,B00276,MULTI_RES
277,B00277,MULTI_RES
278,B00278,MULTI_RES
279,B00279,MULTI_RES
280,B00280,MULTI_RES
281,B00281,MULTI_RES
282,B00282,MULTI_RES
283,B00283,MULTI_RES
284,B00284,INDUSTRIAL
285,B00285,INDUSTRIAL
286,B00286,INDUSTRIAL
287,B00287,MULTI_RES
288,B00288,INDUSTRIAL
289,B00289,MULTI_RES
290,B00290,MULTI_RES
291,B00291,MULTI_RES
292,B00292,RETAIL
293,B00293,MULTI_RES
294,B00294,MULTI_RES
295,B00295,RETAIL
296,B00296,MULTI_RES
297,B00297,MULTI_RES
298,B00298,MULTI_RES
299,B00299,OFFICE
300,B00300,INDUSTRIAL
301,B00301,MULTI_RES
302,B00302,MULTI_RES
303,B00303,MULTI_RES
304,B00304,MULTI_RES
305,B00305,MULTI_RES
306,B00306,MULTI_RES
307,B00307,MULTI_RES
308,B00308,INDUSTRIAL
309,B00309,MULTI_RES
310,B00310,MULTI_RES
311,B00311,MULTI_RES
312,B00312,OFFICE
313,B00313,INDUSTRIAL
314,B00314,MULTI_RES
315,B00315,MULTI_RES
316,B00316,INDUSTRIAL
317,B00317,INDUSTRIAL
318,B00318,MULTI_RES
319,B00319,MULTI_RES
320,B00320,MULTI_RES
321,B00321,MULTI_RES
322,B00322,MULTI_RES
323,B00323,MULTI_RES
324,B00324,MULTI_RES
325,B00325,INDUSTRIAL
326,B00326,MULTI_RES
327,B00327,MULTI_RES
328,B00328,MULTI_RES
329,B00329,MULTI_RES
330,B00330,MULTI_RES
331,B00331,MULTI_RES
332,B00332,MULTI_RES
333,B00333,RETAIL
334,B00334,INDUSTRIAL
335,B00335,MULTI_RES
336,B00336,MULTI_RES
337,B00337,SCHOOL
338,B00338,MULTI_RES
339,B00339,RESTAURANT
340,B00340,MULTI_RES
341,B00341,MULTI_RES
342,B00342,INDUSTRIAL
343,B00343,MULTI_RES
344,B00344,SERVERROOM
345,B00345,RETAIL
346,B00346,MULTI_RES
347,B00347,MULTI_RES
348,B00348,MULTI_RES
349,B00349,MULTI_RES
350,B00350,MULTI_RES
351,B00351,SCHOOL
