,Ea,El,Edata,Epro,Eaux,Ev,Eve,Qcs_sys,Qcdata_sys,Qcre_sys,Qcpro_sys,Qww_sys,Qhs_sys,Qhpro_sys
00:00,58840.66299999996,63930.39599999973,68045.78999999995,50634.49200000004,343.5989999999789,0.0,0.0,0.0,61207.30400000004,0.0,0.0,24189.03700000011,53594.60199999989,446901.31400000054
01:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,426.61599999998475,0.0,0.0,0.0,61201.659000000014,0.0,0.0,19047.534999999985,60594.01399999992,446901.31400000054
02:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,494.46899999998317,0.0,0.0,0.0,61204.48200000003,0.0,0.0,22206.927000000076,62574.10800000007,446901.31400000054
03:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,866.7009999999693,0.0,0.0,0.0,61190.34700000003,0.0,0.0,22418.932999999954,94947.15800000023,446901.31400000054
04:00,58725.10899999994,63891.399999999725,68045.78999999995,50634.49200000004,1070.4469999999596,0.0,0.0,0.0,61190.34700000003,0.0,0.0,19350.241999999922,116735.48999999986,446901.31400000054
05:00,111044.2439999998,105681.70000000038,68045.78999999995,50634.49200000004,1322.0019999999188,0.0,0.0,0.0,61195.992000000006,0.0,0.0,71661.40299999996,155014.54099999988,446901.31400000054
06:00,262572.6800000003,180959.13600000023,68045.78999999995,70745.05200000008,2980.4029999999857,0.0,0.0,0.0,61184.69500000003,0.0,0.0,173409.3499999999,1108577.1740000069,629724.6160000006
07:00,174211.30900000033,228779.52600000022,68045.78999999995,64041.5389999999,4083.8510000000124,0.0,0.0,0.0,61190.34700000003,0.0,0.0,153409.21699999954,1718512.892999999,568783.4860000017
08:00,172990.6659999989,264141.7850000005,68045.78999999995,68510.49200000006,4102.822000000017,0.0,0.0,0.0,61203.35299999998,0.0,0.0,152355.81399999963,1594154.739999997,609410.8880000004
09:00,160247.42199999973,262526.79500000115,68045.78999999995,70745.05200000008,3607.82600000002,0.0,0.0,0.0,61218.60699999998,0.0,0.0,128869.06299999965,1365336.6779999929,629724.6160000006
10:00,190767.45799999998,307294.47900000063,68045.78999999995,72979.53199999993,3396.952999999997,0.0,0.0,0.0,61235.558,0.0,0.0,121487.67800000029,1167766.9270000062,650038.2839999993
11:00,127557.54600000018,228140.57600000125,68045.78999999995,72979.53199999993,3223.3499999999794,0.0,0.0,0.0,61238.38300000001,0.0,0.0,131876.48699999976,1090519.6210000045,650038.2839999993
12:00,280050.0409999994,266052.24099999975,68045.78999999995,72979.53199999993,3132.864999999975,0.0,0.0,0.0,61252.50399999997,0.0,0.0,187525.5159999998,804220.7460000017,650038.2839999993
13:00,193150.27600000106,274397.44100000133,68045.78999999995,70745.05200000008,3071.231999999981,0.0,0.0,0.0,61263.81499999998,0.0,0.0,156836.47399999996,815032.4590000026,629724.6160000006
14:00,190226.29800000024,305427.4940000007,68045.78999999995,72979.53199999993,2793.6069999999872,0.0,0.0,0.0,61262.68599999998,0.0,0.0,85175.70900000002,732986.2279999983,650038.2839999993
15:00,159235.60700000002,260282.63700000104,68045.78999999995,75214.05299999988,2769.1789999999883,0.0,0.0,0.0,61269.46199999998,0.0,0.0,74118.32999999999,686950.0049999967,670352.017000001
16:00,150969.71900000027,242021.18400000056,68045.78999999995,75214.05299999988,2765.467999999983,0.0,0.0,0.0,61269.46199999998,0.0,0.0,74996.49399999947,668514.2900000016,670352.017000001
17:00,152381.2260000006,205406.55399999986,68045.78999999995,72979.53199999993,2817.736999999991,0.0,0.0,0.0,61264.94099999998,0.0,0.0,108050.47499999986,655307.2099999986,650038.2839999993
18:00,234048.70599999867,198198.9110000012,68045.78999999995,70745.05200000008,1993.1459999999531,0.0,0.0,0.0,61258.16100000002,0.0,0.0,150345.73899999956,347319.88299999834,629724.6160000006
19:00,274637.0759999996,212078.21899999992,68045.78999999995,61806.962000000014,2030.344999999953,0.0,0.0,0.0,61246.855999999985,0.0,0.0,151213.66599999944,322123.44300000026,548469.8030000011
20:00,112849.06499999986,109502.72300000029,68045.78999999995,59572.51100000002,2235.362999999962,0.0,0.0,0.0,61240.09299999998,0.0,0.0,148167.9699999999,520662.9009999987,528156.0939999995
21:00,113187.8329999999,111681.4430000003,68045.78999999995,59572.51100000002,444.87299999997276,0.0,0.0,0.0,61235.558,0.0,0.0,148125.94500000018,85389.36999999992,528156.0939999995
22:00,79956.02999999953,75091.90800000018,68045.78999999995,61806.962000000014,345.3489999999967,0.0,0.0,0.0,61229.90600000001,0.0,0.0,61502.55100000003,40785.07600000007,548469.8030000011
23:00,59381.822999999946,65797.38099999976,68045.78999999995,57337.96800000002,376.1919999999825,0.0,0.0,0.0,61232.17500000001,0.0,0.0,52180.077999999936,40616.09000000008,507842.4210000002
